Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Recommendation_Helpfulness,Rating_Accuracy,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,transaction,Customer_Profile,Cluster
2023/06/09 4:32:28 PM GMT+5:30,33,Female,Once a month,Groceries and Gourmet Food;Beauty and Personal Care,No,Few times a week,Others,First page,4.0,No,Always,Changed my mind or no longer need the item,Always,Yes,0,Sometimes,1,1.0,4.0,.,Nil,371866,Occasional Shopper,0
2023/06/08 5:39:57 PM GMT+5:30,63,Male,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,Yes,Few times a month,Keyword,Multiple pages,4.0,No,Often,High shipping costs,Always,Yes,1,Sometimes,1,5.0,2.0,All the above,I have no problem with Amazon yet. But others tell me about the refund issues ,185138,At-Risk Customer,1
2023/06/04 6:31:41 PM GMT+5:30,54,Male,Multiple times a week,Beauty and Personal Care;Home and Kitchen;others,Sometimes,Few times a month,Filter,First page,2.0,No,Sometimes,High shipping costs,Often,Yes,2,Yes,2,2.0,4.0,.,Customer service responsiveness,927656,Regular Customer,0
2023/06/05 10:06:15 PM GMT+5:30,9,Prefer not to say,Multiple times a week,Beauty and Personal Care;Home and Kitchen,Sometimes,Few times a month,Keyword,Multiple pages,4.0,No,Never,Found a better price elsewhere,Rarely,Yes,1,Yes,1,5.0,5.0,Wide product selection,Reducing packaging waste,667658,Regular Customer,0
2023/06/11 11:06:52 PM GMT+5:30,48,Male,Few times a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a week,Others,Multiple pages,2.0,Yes,Rarely,High shipping costs,Always,Yes,1,Sometimes,1,3.0,4.0,Wide product selection,Add more familiar brands to the list,482111,Regular Customer,0
2023/06/04 7:45:33 PM GMT+5:30,36,Others,Once a week,Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a week,Filter,Multiple pages,4.0,Maybe,Rarely,Changed my mind or no longer need the item,Never,No,4,Sometimes,1,4.0,2.0,Customer service ,I don't have any problem with Amazon,825883,At-Risk Customer,1
2023/06/09 2:44:09 PM GMT+5:30,31,Male,Few times a month,Beauty and Personal Care;Home and Kitchen;others,Yes,Few times a week,Categories,First page,1.0,Yes,Rarely,Found a better price elsewhere,Often,No,4,No,2,5.0,3.0,Quick delivery,Nothing,923126,Regular Customer,1
2023/06/09 7:24:06 PM GMT+5:30,28,Prefer not to say,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Rarely,Filter,First page,2.0,Yes,Rarely,High shipping costs,Rarely,Yes,1,Sometimes,0,2.0,2.0,Quick delivery,Scrolling option would be much better than going to next page,670712,At-Risk Customer,2
2023/06/09 2:23:03 PM GMT+5:30,21,Prefer not to say,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Few times a month,Keyword,Multiple pages,5.0,No,Never,Found a better price elsewhere,Rarely,No,1,Sometimes,0,4.0,2.0,Competitive prices,I have no problem with Amazon yet. But others tell me about the refund issues ,482965,At-Risk Customer,1
2023/06/06 6:45:33 PM GMT+5:30,26,Female,Less than once a month,Beauty and Personal Care,Sometimes,Few times a week,Keyword,First page,5.0,No,Never,Changed my mind or no longer need the item,Never,Yes,2,No,0,5.0,2.0,Customer service,Customer service responsiveness,295647,At-Risk Customer,1
2023/06/05 8:44:09 PM GMT+5:30,21,Prefer not to say,Few times a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,No,Multiple times a day,Keyword,Multiple pages,2.0,No,Never,Found a better price elsewhere,Always,Yes,2,Yes,1,4.0,3.0,Competitive prices,No problems with Amazon,874456,Regular Customer,1
2023/06/08 5:41:46 PM GMT+5:30,25,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Rarely,Categories,First page,1.0,No,Rarely,others,Never,Yes,0,Yes,0,1.0,4.0,.,Customer service responsiveness,649815,Regular Customer,0
2023/06/09 4:31:06 PM GMT+5:30,18,Male,Few times a month,Groceries and Gourmet Food;Clothing and Fashion,Sometimes,Multiple times a day,Keyword,First page,3.0,Yes,Always,High shipping costs,Sometimes,No,3,Sometimes,2,2.0,1.0,All the above,Shipping speed and reliability,101391,At-Risk Customer,2
2023/06/05 10:07:33 PM GMT+5:30,63,Male,Once a week,Groceries and Gourmet Food;Beauty and Personal Care,No,Rarely,Keyword,First page,1.0,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,No,3,Yes,1,1.0,1.0,.,Shipping speed and reliability,273961,At-Risk Customer,2
2023/06/06 6:46:14 PM GMT+5:30,19,Prefer not to say,Once a week,Home and Kitchen;others,No,Rarely,Categories,First page,2.0,Maybe,Often,others,Always,Yes,1,Sometimes,2,1.0,2.0,Wide product selection,User interface of app,820621,At-Risk Customer,2
2023/06/09 3:10:36 PM GMT+5:30,50,Others,Once a week,Groceries and Gourmet Food,Sometimes,Rarely,Filter,Multiple pages,4.0,Maybe,Always,Found a better price elsewhere,Often,No,4,Yes,0,1.0,3.0,Competitive prices,I have no problem with Amazon yet. But others tell me about the refund issues ,280430,Regular Customer,2
2023/06/11 10:50:44 PM GMT+5:30,8,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Rarely,Keyword,First page,3.0,No,Always,others,Always,No,3,No,2,2.0,2.0,Competitive prices,I have no problem with Amazon yet. But others tell me about the refund issues ,126064,At-Risk Customer,2
2023/06/07 2:33:56 PM GMT+5:30,6,Male,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;others,No,Few times a week,Categories,Multiple pages,4.0,No,Always,others,Sometimes,Yes,0,Sometimes,1,4.0,5.0,Quick delivery,No problems with Amazon,391861,Regular Customer,0
2023/06/07 10:20:09 PM GMT+5:30,46,Female,Multiple times a week,Home and Kitchen;others,Yes,Multiple times a day,Categories,Multiple pages,2.0,Yes,Often,others,Rarely,No,2,No,2,5.0,4.0,Competitive prices,Nothing,692443,Regular Customer,1
2023/06/06 10:07:39 AM GMT+5:30,45,Female,Once a month,others,Sometimes,Few times a month,Others,Multiple pages,3.0,Maybe,Always,Changed my mind or no longer need the item,Often,No,1,No,0,3.0,4.0,Wide product selection,UI,944858,Occasional Shopper,0
2023/06/07 11:10:09 PM GMT+5:30,33,Others,Once a week,Home and Kitchen,No,Few times a month,Others,First page,4.0,No,Rarely,Found a better price elsewhere,Always,Yes,1,Yes,1,1.0,2.0,Customer service,User interface of app,271812,At-Risk Customer,2
2023/06/12 3:44:16 PM GMT+5:30,25,Others,Multiple times a week,Groceries and Gourmet Food;Home and Kitchen,Sometimes,Few times a week,Keyword,Multiple pages,3.0,Maybe,Often,High shipping costs,Sometimes,No,2,Yes,1,1.0,5.0,.,Quality of product is very poor according to the big offers,562864,Regular Customer,0
2023/06/11 11:19:12 PM GMT+5:30,36,Others,Few times a month,Home and Kitchen,Yes,Few times a month,Filter,First page,2.0,Maybe,Never,Changed my mind or no longer need the item,Always,No,2,No,1,1.0,3.0,All the above,I don't have any problem with Amazon,878096,Regular Customer,2
2023/06/11 11:27:55 PM GMT+5:30,44,Female,Once a month,Clothing and Fashion,Sometimes,Rarely,Categories,Multiple pages,2.0,No,Often,Found a better price elsewhere,Sometimes,Yes,1,No,2,4.0,1.0,User-friendly website/app interface,Add more familiar brands to the list,756035,At-Risk Customer,1
2023/06/07 10:38:51 PM GMT+5:30,43,Prefer not to say,Once a month,Beauty and Personal Care,Yes,Few times a month,Keyword,Multiple pages,3.0,Yes,Sometimes,others,Rarely,Yes,1,Yes,0,2.0,5.0,.,Product quality and accuracy,145801,Occasional Shopper,0
2023/06/09 10:25:27 AM GMT+5:30,3,Male,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Multiple times a day,Filter,First page,2.0,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,No,3,Yes,2,1.0,2.0,Quick delivery,UI,262076,At-Risk Customer,2
2023/06/08 5:48:55 PM GMT+5:30,6,Female,Few times a month,Home and Kitchen;others,No,Rarely,Keyword,First page,3.0,Maybe,Sometimes,High shipping costs,Always,Yes,3,Yes,0,2.0,4.0,Customer service,.,740861,Regular Customer,0
2023/06/04 11:38:30 PM GMT+5:30,55,Prefer not to say,Less than once a month,Groceries and Gourmet Food;Home and Kitchen;others,Yes,Multiple times a day,Filter,First page,5.0,Yes,Rarely,Found a better price elsewhere,Sometimes,Yes,4,No,2,2.0,2.0,User-friendly website/app interface,I don't have any problem with Amazon,249746,At-Risk Customer,2
2023/06/07 2:19:05 PM GMT+5:30,30,Others,Once a month,Clothing and Fashion;Home and Kitchen;others,Sometimes,Rarely,Keyword,Multiple pages,3.0,No,Always,High shipping costs,Rarely,No,0,Sometimes,0,5.0,3.0,Customer service,Add more familiar brands to the list,972947,Occasional Shopper,1
2023/06/12 3:27:59 PM GMT+5:30,24,Female,Once a month,Beauty and Personal Care;Clothing and Fashion;others,Yes,Rarely,Keyword,Multiple pages,1.0,No,Often,High shipping costs,Sometimes,No,4,Yes,0,2.0,5.0,Product recommendations,Product quality and accuracy,670421,Occasional Shopper,0
2023/06/11 10:54:33 PM GMT+5:30,29,Female,Few times a month,Groceries and Gourmet Food;Clothing and Fashion,Yes,Few times a month,Others,First page,3.0,Yes,Never,Changed my mind or no longer need the item,Rarely,No,0,Yes,0,1.0,3.0,Customer service,No problems with Amazon,739168,Regular Customer,2
2023/06/09 7:23:09 PM GMT+5:30,18,Male,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;others,Sometimes,Few times a week,Others,Multiple pages,5.0,No,Sometimes,Found a better price elsewhere,Never,No,1,No,0,4.0,3.0,Product recommendations,Reducing packaging waste,752837,Regular Customer,1
2023/06/07 6:17:42 PM GMT+5:30,25,Prefer not to say,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;others,Sometimes,Few times a month,Categories,Multiple pages,5.0,No,Never,Found a better price elsewhere,Never,No,4,No,0,1.0,1.0,Competitive prices,User interface ,698159,At-Risk Customer,2
2023/06/08 3:23:36 AM GMT+5:30,56,Male,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a month,Filter,Multiple pages,1.0,No,Sometimes,others,Often,No,2,No,1,4.0,1.0,.,User interface of app,198382,At-Risk Customer,1
2023/06/04 9:18:12 PM GMT+5:30,65,Others,Less than once a month,Groceries and Gourmet Food;Clothing and Fashion;others,Yes,Few times a week,Categories,Multiple pages,2.0,Yes,Always,Changed my mind or no longer need the item,Often,No,2,Sometimes,2,1.0,5.0,Wide product selection,Quality of product is very poor according to the big offers,513315,Regular Customer,0
2023/06/11 9:31:41 AM GMT+5:30,30,Others,Less than once a month,Beauty and Personal Care;others,Sometimes,Few times a week,Filter,First page,1.0,Yes,Sometimes,High shipping costs,Rarely,Yes,3,Yes,1,2.0,3.0,Customer service,I have no problem with Amazon yet. But others tell me about the refund issues ,250655,Regular Customer,2
2023/06/05 8:49:12 PM GMT+5:30,19,Others,Multiple times a week,Groceries and Gourmet Food;Home and Kitchen;others,Yes,Few times a month,Others,Multiple pages,3.0,Maybe,Rarely,Changed my mind or no longer need the item,Often,Yes,4,Yes,1,1.0,2.0,Customer service ,UI,173250,At-Risk Customer,2
2023/06/11 10:43:19 PM GMT+5:30,53,Prefer not to say,Few times a month,Groceries and Gourmet Food;Home and Kitchen,No,Few times a month,Keyword,Multiple pages,4.0,No,Rarely,Changed my mind or no longer need the item,Sometimes,No,2,Sometimes,0,1.0,2.0,Quick delivery,Add more familiar brands to the list,480321,At-Risk Customer,2
2023/06/07 9:21:50 PM GMT+5:30,22,Male,Once a month,Beauty and Personal Care,Sometimes,Few times a month,Filter,Multiple pages,1.0,Maybe,Never,High shipping costs,Always,No,4,No,2,4.0,5.0,Quick delivery,Nothing,589283,Occasional Shopper,0
2023/06/05 8:43:26 AM GMT+5:30,36,Female,Once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,No,Rarely,Others,First page,4.0,Maybe,Never,High shipping costs,Often,No,2,Sometimes,0,2.0,5.0,Quick delivery,better app interface and lower shipping charges,372270,Occasional Shopper,0
2023/06/09 2:42:24 PM GMT+5:30,67,Female,Multiple times a week,Beauty and Personal Care;Clothing and Fashion,No,Rarely,Keyword,Multiple pages,3.0,No,Always,Changed my mind or no longer need the item,Often,Yes,2,No,2,3.0,1.0,Wide product selection,No problems with Amazon,867575,At-Risk Customer,1
2023/06/09 2:41:53 PM GMT+5:30,56,Male,Few times a month,Groceries and Gourmet Food;Home and Kitchen,Sometimes,Few times a month,Categories,First page,3.0,No,Rarely,others,Often,No,2,No,2,4.0,1.0,Quick delivery,No problems with Amazon,126697,At-Risk Customer,1
2023/06/11 11:04:55 PM GMT+5:30,41,Male,Once a month,Groceries and Gourmet Food;Beauty and Personal Care,Yes,Multiple times a day,Keyword,First page,4.0,No,Never,Found a better price elsewhere,Rarely,Yes,4,Yes,2,5.0,2.0,Customer service ,Product quality and accuracy,876289,At-Risk Customer,1
2023/06/12 3:59:59 PM GMT+5:30,3,Male,Less than once a month,Clothing and Fashion,Yes,Few times a week,Others,Multiple pages,1.0,No,Often,Found a better price elsewhere,Never,Yes,1,Yes,0,5.0,3.0,Quick delivery,.,446463,Regular Customer,1
2023/06/07 9:32:38 AM GMT+5:30,32,Others,Once a month,Clothing and Fashion;others,No,Multiple times a day,Categories,Multiple pages,4.0,Yes,Never,High shipping costs,Sometimes,No,4,Yes,2,5.0,5.0,Quick delivery,Shipping speed and reliability,821718,Occasional Shopper,0
2023/06/09 7:26:02 PM GMT+5:30,22,Prefer not to say,Once a month,Clothing and Fashion,Yes,Few times a month,Others,First page,1.0,Maybe,Always,Found a better price elsewhere,Sometimes,Yes,0,No,0,2.0,5.0,Quick delivery,better app interface and lower shipping charges,594959,Occasional Shopper,0
2023/06/07 9:54:24 PM GMT+5:30,61,Others,Once a week,Groceries and Gourmet Food;Home and Kitchen,Sometimes,Few times a month,Keyword,Multiple pages,5.0,Maybe,Never,Found a better price elsewhere,Sometimes,Yes,0,Yes,2,2.0,1.0,User-friendly website/app interface,Nothing,214001,At-Risk Customer,2
2023/06/11 2:07:39 PM GMT+5:30,56,Others,Once a month,others,No,Few times a week,Keyword,Multiple pages,4.0,Maybe,Always,Changed my mind or no longer need the item,Sometimes,No,1,No,0,1.0,1.0,User-friendly website/app interface,Scrolling option would be much better than going to next page,622644,At-Risk Customer,2
2023/06/08 6:00:50 PM GMT+5:30,35,Female,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Few times a week,Keyword,Multiple pages,1.0,Maybe,Always,Found a better price elsewhere,Rarely,Yes,4,Yes,1,2.0,3.0,Customer service,Shipping speed and reliability,954138,Regular Customer,2
2023/06/07 11:06:40 PM GMT+5:30,29,Female,Once a week,Beauty and Personal Care;Clothing and Fashion;others,No,Multiple times a day,Filter,First page,5.0,No,Sometimes,Changed my mind or no longer need the item,Sometimes,No,3,Sometimes,2,5.0,1.0,User-friendly website/app interface,Customer service responsiveness,171707,At-Risk Customer,1
2023/06/06 7:15:48 PM GMT+5:30,52,Others,Less than once a month,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a week,Keyword,Multiple pages,2.0,Maybe,Often,others,Never,Yes,0,Yes,2,1.0,4.0,Wide product selection,Reducing packaging waste,579286,Regular Customer,0
2023/06/06 7:16:28 PM GMT+5:30,44,Others,Once a month,Beauty and Personal Care,Yes,Rarely,Categories,First page,4.0,Maybe,Often,others,Often,No,4,Yes,1,3.0,2.0,Wide product selection,I don't have any problem with Amazon,378228,At-Risk Customer,1
2023/06/06 10:46:31 AM GMT+5:30,57,Female,Less than once a month,Clothing and Fashion;Home and Kitchen;others,No,Rarely,Filter,Multiple pages,4.0,No,Always,High shipping costs,Often,No,0,Yes,2,1.0,2.0,Product recommendations,User interface ,638160,At-Risk Customer,2
2023/06/08 3:30:05 AM GMT+5:30,30,Male,Once a week,Groceries and Gourmet Food;Clothing and Fashion;others,Yes,Few times a month,Others,Multiple pages,3.0,Yes,Never,Changed my mind or no longer need the item,Rarely,No,2,Sometimes,1,2.0,4.0,Product recommendations,Shipping speed and reliability,561516,Frequent Buyer,0
2023/06/06 9:37:33 AM GMT+5:30,25,Male,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,Sometimes,Multiple times a day,Keyword,Multiple pages,5.0,No,Rarely,Changed my mind or no longer need the item,Never,Yes,4,Yes,1,3.0,5.0,.,Irrelevant product suggestions,111915,Regular Customer,0
2023/06/07 9:24:31 AM GMT+5:30,26,Male,Less than once a month,Clothing and Fashion;Home and Kitchen,Yes,Rarely,Keyword,Multiple pages,2.0,Maybe,Rarely,Changed my mind or no longer need the item,Sometimes,No,2,Yes,0,5.0,1.0,User-friendly website/app interface,No problems with Amazon,576191,At-Risk Customer,1
2023/06/06 10:36:14 AM GMT+5:30,24,Male,Once a week,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Rarely,Others,Multiple pages,3.0,Maybe,Often,High shipping costs,Sometimes,No,0,Yes,2,3.0,2.0,Wide product selection,Nothing,129887,At-Risk Customer,1
2023/06/07 1:33:51 PM GMT+5:30,44,Female,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion;others,No,Multiple times a day,Filter,Multiple pages,5.0,No,Never,Changed my mind or no longer need the item,Always,Yes,2,Sometimes,0,1.0,1.0,Product recommendations,Quality of product is very poor according to the big offers,999892,At-Risk Customer,2
2023/06/08 10:21:20 PM GMT+5:30,25,Others,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,Yes,Few times a week,Filter,Multiple pages,5.0,Maybe,Never,Found a better price elsewhere,Never,No,3,Sometimes,2,2.0,4.0,Customer service ,I have no problem with Amazon yet. But others tell me about the refund issues ,394200,Frequent Buyer,0
2023/06/05 9:56:58 AM GMT+5:30,48,Female,Once a week,Clothing and Fashion,Yes,Rarely,Keyword,Multiple pages,3.0,No,Always,Changed my mind or no longer need the item,Sometimes,No,2,Yes,1,3.0,4.0,Competitive prices,Add more familiar brands to the list,793290,Frequent Buyer,0
2023/06/09 2:23:45 PM GMT+5:30,49,Others,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,No,Multiple times a day,Keyword,First page,4.0,Yes,Often,High shipping costs,Often,No,3,Yes,0,4.0,2.0,User-friendly website/app interface,Product quality and accuracy,290234,At-Risk Customer,1
2023/06/08 7:50:55 PM GMT+5:30,17,Male,Once a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Rarely,Keyword,First page,1.0,No,Always,High shipping costs,Always,No,4,Yes,2,1.0,4.0,Customer service,Shipping speed and reliability,137072,Frequent Buyer,0
2023/06/08 5:25:40 PM GMT+5:30,36,Male,Once a month,Clothing and Fashion;others,Yes,Rarely,Others,Multiple pages,2.0,Maybe,Never,Found a better price elsewhere,Rarely,No,0,No,0,1.0,2.0,All the above,User interface of app,726158,At-Risk Customer,2
2023/06/07 9:20:34 AM GMT+5:30,66,Male,Once a month,Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a week,Categories,Multiple pages,5.0,Maybe,Always,High shipping costs,Rarely,No,0,No,1,1.0,2.0,Customer service ,User interface of app,541010,At-Risk Customer,2
2023/06/07 7:17:13 PM GMT+5:30,43,Female,Once a month,Beauty and Personal Care;others,No,Multiple times a day,Keyword,Multiple pages,2.0,No,Sometimes,Changed my mind or no longer need the item,Often,No,3,No,2,2.0,4.0,Customer service ,Product quality and accuracy,256701,Occasional Shopper,0
2023/06/09 7:24:06 PM GMT+5:30,59,Female,Multiple times a week,Beauty and Personal Care,No,Few times a month,Others,First page,5.0,Yes,Always,Changed my mind or no longer need the item,Often,Yes,1,Yes,2,3.0,3.0,Quick delivery,Nil,342717,Regular Customer,2
2023/06/08 5:52:26 PM GMT+5:30,23,Others,Once a week,Clothing and Fashion;Home and Kitchen,Yes,Few times a month,Categories,Multiple pages,3.0,Yes,Always,Found a better price elsewhere,Often,Yes,3,Sometimes,0,4.0,4.0,Wide product selection,I don't have any problem with Amazon,492469,Frequent Buyer,0
2023/06/07 11:00:15 PM GMT+5:30,32,Female,Few times a month,Beauty and Personal Care;Home and Kitchen;others,Yes,Few times a week,Keyword,First page,4.0,Yes,Often,Found a better price elsewhere,Always,No,4,Yes,1,1.0,5.0,User-friendly website/app interface,No problems with Amazon,929341,Regular Customer,0
2023/06/11 11:06:52 PM GMT+5:30,65,Male,Once a month,Groceries and Gourmet Food;Beauty and Personal Care,Sometimes,Few times a month,Categories,Multiple pages,3.0,Maybe,Often,others,Rarely,No,2,Sometimes,2,4.0,2.0,Product recommendations,better app interface and lower shipping charges,510823,At-Risk Customer,1
2023/06/06 7:19:43 PM GMT+5:30,13,Male,Once a week,Clothing and Fashion;Home and Kitchen,Sometimes,Multiple times a day,Categories,Multiple pages,3.0,Yes,Often,Changed my mind or no longer need the item,Rarely,No,2,No,0,2.0,2.0,Customer service ,Product quality and accuracy,671363,At-Risk Customer,2
2023/06/06 6:40:27 PM GMT+5:30,15,Others,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,Yes,Few times a month,Others,First page,3.0,No,Sometimes,High shipping costs,Always,No,3,Yes,2,5.0,2.0,Customer service ,Nothing,557654,At-Risk Customer,1
2023/06/05 2:24:22 PM GMT+5:30,17,Male,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Few times a week,Others,Multiple pages,1.0,Maybe,Often,others,Rarely,Yes,2,Sometimes,1,1.0,2.0,Wide product selection,Nil,318253,At-Risk Customer,2
2023/06/07 8:20:23 PM GMT+5:30,18,Female,Once a week,others,No,Few times a week,Categories,Multiple pages,1.0,Maybe,Sometimes,Found a better price elsewhere,Often,No,2,Sometimes,0,5.0,4.0,Customer service,Add more familiar brands to the list,368973,Frequent Buyer,1
2023/06/08 2:21:41 PM GMT+5:30,31,Male,Few times a month,Beauty and Personal Care;others,No,Rarely,Others,First page,1.0,Maybe,Often,High shipping costs,Sometimes,Yes,4,No,2,4.0,1.0,Quick delivery,Add more familiar brands to the list,423614,At-Risk Customer,1
2023/06/07 9:19:23 AM GMT+5:30,36,Female,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion,Sometimes,Rarely,Keyword,Multiple pages,2.0,Maybe,Rarely,others,Sometimes,No,3,Yes,2,1.0,4.0,Customer service ,User interface ,661048,Regular Customer,0
2023/06/06 6:57:14 PM GMT+5:30,4,Female,Multiple times a week,Home and Kitchen;others,No,Few times a week,Filter,First page,3.0,Maybe,Rarely,others,Never,Yes,2,Yes,0,3.0,4.0,Wide product selection,I have no problem with Amazon yet. But others tell me about the refund issues ,953478,Regular Customer,0
2023/06/04 8:54:36 PM GMT+5:30,30,Prefer not to say,Once a week,Clothing and Fashion;Home and Kitchen;others,No,Multiple times a day,Others,Multiple pages,3.0,No,Often,Found a better price elsewhere,Rarely,No,3,Yes,0,2.0,4.0,.,No problems with Amazon,801026,Frequent Buyer,0
2023/06/07 9:16:59 PM GMT+5:30,24,Male,Once a month,others,Sometimes,Few times a month,Categories,First page,1.0,Yes,Rarely,others,Rarely,No,0,Yes,1,4.0,2.0,All the above,Customer service responsiveness,861300,At-Risk Customer,1
2023/06/07 11:47:07 AM GMT+5:30,39,Prefer not to say,Multiple times a week,Home and Kitchen;others,Sometimes,Multiple times a day,Keyword,Multiple pages,2.0,Yes,Always,Changed my mind or no longer need the item,Sometimes,Yes,1,No,2,2.0,4.0,Wide product selection,better app interface and lower shipping charges,330351,Regular Customer,0
2023/06/07 6:29:53 PM GMT+5:30,49,Others,Few times a month,Groceries and Gourmet Food;Home and Kitchen;others,No,Rarely,Categories,Multiple pages,3.0,Maybe,Often,Changed my mind or no longer need the item,Never,Yes,0,Sometimes,0,2.0,2.0,.,UI,494520,At-Risk Customer,2
2023/06/06 7:16:28 PM GMT+5:30,51,Male,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,Yes,Few times a week,Keyword,Multiple pages,1.0,Yes,Always,Changed my mind or no longer need the item,Always,No,1,Sometimes,1,1.0,4.0,Quick delivery,Add more familiar brands to the list,118160,Occasional Shopper,0
2023/06/08 5:07:19 PM GMT+5:30,54,Others,Multiple times a week,Beauty and Personal Care;Home and Kitchen;others,Sometimes,Few times a month,Keyword,First page,2.0,Yes,Never,High shipping costs,Often,Yes,0,No,2,1.0,5.0,All the above,User interface ,991814,Regular Customer,0
2023/06/07 11:05:19 PM GMT+5:30,8,Prefer not to say,Multiple times a week,Beauty and Personal Care;Home and Kitchen;others,Sometimes,Multiple times a day,Others,Multiple pages,5.0,Maybe,Sometimes,others,Sometimes,No,1,Yes,1,1.0,2.0,.,I don't have any problem with Amazon,795173,At-Risk Customer,2
2023/06/06 6:42:00 PM GMT+5:30,29,Male,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;others,Yes,Multiple times a day,Categories,Multiple pages,1.0,Yes,Often,others,Always,Yes,0,Yes,1,2.0,3.0,Wide product selection,Nothing,428050,Occasional Shopper,2
2023/06/08 5:37:58 PM GMT+5:30,34,Male,Few times a month,Groceries and Gourmet Food;Home and Kitchen,Yes,Multiple times a day,Keyword,Multiple pages,4.0,No,Never,Changed my mind or no longer need the item,Never,Yes,3,Sometimes,1,4.0,3.0,.,.,852218,Regular Customer,1
2023/06/09 3:26:38 PM GMT+5:30,62,Female,Multiple times a week,Groceries and Gourmet Food;Home and Kitchen;others,Sometimes,Few times a month,Others,Multiple pages,1.0,Yes,Sometimes,Found a better price elsewhere,Sometimes,Yes,4,No,0,3.0,1.0,Product recommendations,I don't have any problem with Amazon,581774,At-Risk Customer,1
2023/06/11 11:05:38 PM GMT+5:30,21,Prefer not to say,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a month,Others,Multiple pages,2.0,No,Always,High shipping costs,Sometimes,No,2,No,1,3.0,2.0,Competitive prices,User interface ,987635,At-Risk Customer,1
2023/06/04 11:12:15 PM GMT+5:30,64,Others,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care,Yes,Few times a week,Filter,Multiple pages,4.0,Yes,Always,High shipping costs,Sometimes,No,2,No,0,5.0,2.0,.,Quality of product is very poor according to the big offers,116397,At-Risk Customer,1
2023/06/07 9:21:10 PM GMT+5:30,15,Others,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care,Yes,Few times a month,Categories,First page,1.0,No,Always,High shipping costs,Rarely,No,3,Sometimes,0,2.0,5.0,Customer service ,I have no problem with Amazon yet. But others tell me about the refund issues ,178480,Regular Customer,0
2023/06/12 3:35:24 PM GMT+5:30,56,Male,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Multiple times a day,Keyword,First page,2.0,No,Sometimes,others,Never,Yes,2,No,0,5.0,2.0,Customer service ,Nil,957611,At-Risk Customer,1
2023/06/06 6:35:14 PM GMT+5:30,5,Female,Few times a month,Groceries and Gourmet Food;Home and Kitchen;others,Sometimes,Rarely,Keyword,Multiple pages,4.0,Maybe,Never,Changed my mind or no longer need the item,Always,No,1,No,1,4.0,4.0,User-friendly website/app interface,.,295647,Regular Customer,0
